Molecule,Cluster,data,Cluster_center,Distance_to_center
2193,9,[-0.4374755262724225  0.1414468424011282 -0.2991697970649519 -0.2677483282724841 -0.2052588564167019 -0.1885437009010175 -0.3022110513799763  0.0662218848726748  0.0351665548063065],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.49512449218933857
2194,0,[ 0.226239958516922  -0.1974120751614149 -0.2696232249791742 -0.3416144888306786  0.206504133035333   0.471378051765161  -0.0595545567810056 -0.3386466923187391  0.0023451862362697],[ 0.2375768505373571 -0.1545492062714881  0.063371252230152  -0.2856063441868819  0.2272977626342499 -0.0150944172334486  0.1271644770746047 -0.0965084445384889  0.0142098375542327],0.668364811676206
2195,7,[ 0.1461669008276801 -0.0996305856921976 -0.823455539472641  -0.2003184497318591 -0.284135199360344  -0.2128922090854069  0.1228951006671491  0.226401258154925  -0.1025312714805164],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.596042608838948
2196,4,[-0.4556846376710244 -0.8331510332324362  0.6075526614306257 -0.3720608008905874  0.335656259558101   0.0863560366138938  0.1439032217549865  0.0670584088634536  0.0661840423839426],[-0.2786373820387271 -0.5298949276051771  0.2399578029211727  0.0008392265522396 -0.0379644834335693  0.1557081415706476 -0.0499799862541629  0.0909830480103215  0.0659874408609354],0.7616138826272479
2197,9,[-0.3649386008968939 -0.1062050368019007  0.2852503824017622 -0.213520673636941  -0.0250311172769983  0.3429753373931251 -0.0498727189676428  0.1125517332072675  0.1127442504023222],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.5142300083159846
2198,2,[-0.6201859828146049  0.0232164043815704 -0.4858471974851749  0.6741234100514234  0.2356615808649673  0.1762423598714685  0.0672578282133496  0.0416717085225071 -0.2443371748924735],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.469518655310999
2199,6,[ 0.6935688603921973  0.2948215698153926 -0.1891716486843898  0.087087302358422   0.0595828854976932 -0.1240642374183589 -0.0667451804888294  0.1696573146507954  0.0128178856869691],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5217484124537636
2200,7,[ 0.2212437004370919 -0.2435092938367797 -0.7166603652649319 -0.0823426299169448 -0.282139133239037   0.0483440438907057  0.1512793282477469  0.2277711954379587 -0.0377162490247473],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.5947184985012629
2201,6,[ 0.2577547631739132  0.0262643175341273  0.4910673650547833  0.261088983490957  -0.1225965696228314 -0.0871882076415987  0.0943131763571731 -0.1384816398137358 -0.0985869299416474],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5590824415285228
2202,8,[ 0.2650678620077589 -0.1080136020990778  0.6373671879886049  0.1060913826233245  0.0968886913676601 -0.1209543085010127  0.154395735695773  -0.1645992995782728 -0.1028121300245884],[-0.2698492113982845 -0.0661925329785894  0.5352486216415745 -0.0402943302169309 -0.0153910610999193 -0.0825069658269472 -0.0601337998618106  0.0306231399348201 -0.0876278038480917],0.6466780365920104
