Molecule,Cluster,data,Cluster_center,Distance_to_center
319,10,[ 0.5693096324346679 -0.3156463257062354  0.4713871470920551  0.1500699596373681  0.2345534484550033  0.0064767134283115],[ 0.4446541621255925 -0.0019590057539666  0.7084606338538603  0.0384392431242359  0.1162524540500033 -0.0383529401014108],0.44565547128275634
320,5,[ 0.5833939867356627  0.4675807861665091  0.1617276760574043  0.1980243630262545 -0.1677401004039788  0.080612387862209 ],[ 0.6277033172914398  0.5766565700872177 -0.0619412743357279 -0.0055764988125866 -0.0700418971040428  0.0884399671887708],0.33904006201310755
321,8,[ 0.3449012138578421 -0.3311632154678689  0.2602570446981935  0.268006293552967  -0.1564340489015131  0.0707786743892247],[ 0.4393423178376795 -0.5037633302329061  0.3021558605771394 -0.1892323453636002  0.0030849113807262  0.0256666972870739],0.52632118957511
322,0,[ 0.9217110146082869 -0.5256818644944282 -0.0182268944761196  0.3905191572816274  0.2260650654848915 -0.0037644037845397],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.22509786522923364
323,5,[ 0.6363711441646109  0.8373879984789336 -0.1018678791062422  0.1377845144383025 -0.2806365012628731  0.0709881228481962],[ 0.6277033172914398  0.5766565700872177 -0.0619412743357279 -0.0055764988125866 -0.0700418971040428  0.0884399671887708],0.36722905254678895
324,5,[ 0.5482024113519158  0.8115060157870143 -0.2380051612593923  0.0362161660820881 -0.0612895701456124  0.0977821319867069],[ 0.6277033172914398  0.5766565700872177 -0.0619412743357279 -0.0055764988125866 -0.0700418971040428  0.0884399671887708],0.30721922885567116
325,5,[ 0.5397463616776934  0.6031300657447112 -0.3706490175558134 -0.012838099979737  -0.0771382488225665  0.0935300403872388],[ 0.6277033172914398  0.5766565700872177 -0.0619412743357279 -0.0055764988125866 -0.0700418971040428  0.0884399671887708],0.32228363384074227
326,2,[-0.2133840999692908 -0.1984795907452825 -0.2110647405158988  0.1351981935078109 -0.1049068866065104  0.2022101712979265],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.2855841656141235
327,1,[ 0.0825048821041598  0.2909166697876762 -0.015791588157579  -0.2460467426020296  0.0620139390395079 -0.016530157759816 ],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.21790393621062115
328,1,[-0.1508160285728349  0.071873468919127   0.0646465907532206 -0.1734454800818487 -0.3242891759094476 -0.0548795798158045],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.36972211337513927
329,5,[ 0.4849683590418059  0.6347497333068506 -0.3388717490296594  0.1427948453444454 -0.0380007996787125  0.064859654053541 ],[ 0.6277033172914398  0.5766565700872177 -0.0619412743357279 -0.0055764988125866 -0.0700418971040428  0.0884399671887708],0.3521864429422764
330,2,[-0.0748542410368748 -0.3586719648635841 -0.3965476602332062  0.1980135490377952  0.0461402453659484  0.0361725682574044],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.2314947530014441
331,11,[-0.0870137190252314 -0.2910344022002445 -0.3152621377629058  0.0201171434284385  0.0171894409345635  0.0316921396019208],[-0.0736804139004434 -0.2816178670567748 -0.3216575122584134 -0.0709410085037222 -0.0479759496040815 -0.0104047456555588],0.12090331625035211
332,16,[-0.0663587922802643  0.0950192028754482 -0.2489229458374073 -0.1615865711922264  0.0303623533004083 -0.0820762440105771],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.22369727369435283
333,11,[-0.0142172853990709 -0.3922377244331309 -0.4342072840246553  0.1093846038062666  0.0350884137287531  0.0097865012085901],[-0.0736804139004434 -0.2816178670567748 -0.3216575122584134 -0.0709410085037222 -0.0479759496040815 -0.0104047456555588],0.26127527434213854
334,15,[-0.1670465300968103  0.1773827946832598  0.0777597610790497  0.2753111665122359  0.0268054240756821  0.0285674233393134],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.21276694074981828
335,2,[-0.1821087612475392 -0.1297238387810827 -0.1076753302450299  0.1883226816435552 -0.001336690659503   0.0304197811794967],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.2126798414625747
336,15,[ 0.0601422307568539 -0.0352708141766805  0.0459141194349923  0.0188709194726268  0.3082725643546064 -0.010117262363462 ],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.38108025473823937
337,1,[-0.1660771340125721  0.0923444477493596  0.0670255214646951 -0.06783833279564   -0.0436369532164832  0.0457323687618017],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.19455622188904845
338,2,[-0.1525176735590879 -0.2017167492725778 -0.1813427663925671  0.153911928336273  -0.0176616388061941  0.0541294906219295],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.15155975529829818
339,9,[-0.8978729258181306  0.1259279901267496  0.3622260205260467 -0.023749826637305   0.1925462580438339  0.0329256734422943],[-1.1155980142987363 -0.0850020261915282  0.2135055458349384 -0.2225577643138235  0.4645008996356217  0.1324419631449789],0.4872380122824594
340,15,[0.0028422686528946 0.0884586717495147 0.0317668978860533 0.1449918579749324 0.0955112114383255 0.0522060079582337],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.1716729186293048
341,9,[-0.9074110380480427  0.2423493737020393  0.4713195122318833 -0.0735089334927046  0.1933614575026388  0.0298685635975914],[-1.1155980142987363 -0.0850020261915282  0.2135055458349384 -0.2225577643138235  0.4645008996356217  0.1324419631449789],0.5685263852329512
342,1,[ 0.0804884697266791  0.0752905948781377 -0.0051367978519086 -0.4289642033969652  0.0914955858506851 -0.0191116440012552],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.32177086019739753
343,1,[ 0.0082037985709618  0.1854599642406656 -0.0813879748656613 -0.0384250659627483  0.1308371142696682 -0.0389351438932156],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.21106335686300623
344,15,[-0.0060732823299209  0.1272795151822526  0.0540612083691395  0.0065144293187879  0.1177853171098404 -0.0018970618950154],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.22181199560240653
345,3,[-0.1767015734703695  0.0386368131328285  0.112336982368385  -0.1742234531570551 -0.4232477198030367  0.0165071619047001],[ 0.0639790926898942  0.2480501680756977  0.1466715039371099  0.0866744846980939 -0.2594892946840103  0.0026523896721303],0.4450129280720719
