NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,238.322,235.298,27.69,-0.3023,56.9,0.11504228,0.84096158,0.54109484,0.8216272,1114.3390614,1692.07173291,2059.41542203,3.19507629,0.38800351,1.0
17.0,17.0,10.0,4.0,1.0,1.0,1.0,4.0,267.867,265.851,44.76,-0.8995,56.5935,0.49736461,0.97763351,0.21031574,0.88189082,633.33841153,2655.69913429,3011.36951652,3.42933333,0.11625985,1.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,238.322,235.298,27.69,-0.3023,56.9,0.11596534,0.83343746,0.55261379,0.73549022,974.04387387,1296.38411594,1762.61231376,2.90883586,0.26410791,1.0
17.0,17.0,10.0,4.0,1.0,1.0,1.0,3.0,271.874,268.85,27.69,0.0631,56.892,0.08634496,0.77997134,0.62581523,0.70306236,1156.01031777,1298.70177348,1847.20707319,2.81275747,0.27725287,0.85714286
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,249.877,246.853,44.76,-1.0386,56.6355,0.05969341,0.75328453,0.65769477,0.78986636,1131.79786716,1359.24611042,1720.85581059,2.90309251,0.3959602,1.0
15.0,15.0,9.0,4.0,1.0,1.0,1.0,3.0,239.857,237.841,27.69,-0.6775,51.806,0.30044478,0.93610099,0.35173134,0.98265127,716.29014017,2001.13932942,2036.46948308,3.14799313,0.34012125,1.0
15.0,15.0,8.0,4.0,1.0,1.0,1.0,3.0,252.349,247.309,27.69,0.00612,61.637,0.30318988,0.94131538,0.33752829,0.86573182,735.10779099,1885.48995086,2177.91458951,3.0834543,0.23362385,0.85714286
15.0,15.0,8.0,5.0,1.0,1.0,1.0,4.0,233.903,227.855,36.92,-0.9471,58.442,0.27034806,0.92987999,0.36786304,0.90917206,722.86850367,1786.56670228,1965.04795141,3.09270535,0.3164007,0.85714286
18.0,18.0,9.0,6.0,1.0,1.0,1.0,5.0,275.94,267.876,53.99,-1.2402,67.61,0.36523679,0.95590968,0.29366084,0.90970914,1025.54726965,3176.96334752,3492.28475316,3.7340163,0.25815659,0.77777778
15.0,15.0,8.0,5.0,1.0,1.0,1.0,4.0,231.887,227.855,44.76,-1.1432,57.2775,0.13687799,0.82159698,0.57006877,0.62364491,1117.40163439,1222.41714903,1960.11726547,3.04493341,0.17408429,1.0
16.0,16.0,11.0,6.0,1.0,1.0,0.0,5.0,254.666,251.642,49.81,-3.1276,62.369,0.40627295,0.96424245,0.26502169,0.89311731,788.13208047,2655.98788169,2973.83989535,3.54975204,0.22883289,1.0
8.0,8.0,5.0,4.0,0.0,0.0,0.0,2.0,129.863,124.823,18.46,-0.1392,34.436,0.1771221,0.84321482,0.53757676,0.57553514,371.63808248,397.87950877,691.32096126,2.37161068,0.30055831,0.66666667
12.0,12.0,10.0,7.0,0.0,0.0,0.0,4.0,205.634,201.602,36.92,-1.6368,48.478,0.48146254,0.97561284,0.21949849,0.826569,496.30035893,1868.92622342,2261.0649771,3.35393036,0.14873808,0.0
15.0,15.0,8.0,5.0,1.0,1.0,1.0,4.0,233.903,227.855,36.92,-0.9471,58.442,0.42710749,0.96741127,0.25321027,0.78314233,661.65329107,2046.39685267,2613.0586613,3.37262594,0.06218213,0.85714286
8.0,8.0,5.0,3.0,0.0,0.0,0.0,2.0,127.847,124.823,18.46,-0.4449,33.142,0.16476844,0.84531631,0.53426616,0.60590888,352.6646643,399.95542926,660.09171429,2.3505339,0.36486139,0.66666667
11.0,11.0,10.0,6.0,0.0,0.0,0.0,4.0,191.607,189.591,36.92,-2.0976,43.671,0.17161304,0.88600173,0.46368193,0.84938477,669.74407751,1226.85483854,1444.40408962,2.9526893,0.42833733,0.0
15.0,15.0,9.0,5.0,1.0,1.0,1.0,4.0,241.858,238.834,36.92,-1.4934,58.272,0.28330808,0.93429765,0.3564939,0.90679846,741.6907917,1886.60750463,2080.51466949,3.12004239,0.25613008,1.0
7.0,7.0,6.0,3.0,0.0,0.0,0.0,2.0,138.27,136.254,18.46,-0.5472,30.152,0.16665809,0.85995285,0.51037348,0.64099709,350.18647334,439.81225209,686.13767761,2.31038452,0.42794343,0.0
7.0,7.0,6.0,2.0,0.0,0.0,0.0,3.0,114.808,114.808,42.25,-1.26242,25.045,0.17436896,0.88005003,0.47488098,0.7078538,241.69150622,360.26343104,508.95175468,2.19956965,0.25882043,0.0
8.0,8.0,6.0,4.0,0.0,0.0,0.0,3.0,131.835,128.811,35.53,-1.1263,30.303,0.19321329,0.85489836,0.51879553,0.56792161,382.95237362,419.21511638,738.15665964,2.41699473,0.24499758,0.5
21.0,21.0,15.0,9.0,1.0,1.0,1.0,6.0,341.46,338.436,55.38,-4.6272,83.64,0.11572524,0.83927048,0.54371413,0.90173307,1858.37885258,3082.06383996,3417.93370546,3.49845302,0.41999885,1.0
15.0,15.0,8.0,5.0,1.0,1.0,1.0,4.0,233.903,227.855,36.92,-0.9471,58.442,0.07039683,0.75129297,0.65996885,0.71714921,1186.35246352,1289.13922813,1797.58857965,3.02230042,0.27179972,0.85714286
15.0,15.0,8.0,5.0,1.0,1.0,1.0,4.0,233.903,227.855,36.92,-0.9471,58.442,0.33733552,0.94750576,0.31973869,0.71914643,802.87439646,1805.80042974,2511.0330132,3.30818429,0.06351187,0.85714286
7.0,7.0,5.0,2.0,0.0,0.0,0.0,2.0,113.82,112.812,18.46,-1.1528,28.265,0.12972993,0.8550615,0.51852659,0.8426713,205.72607502,334.33089799,396.75125532,2.02862167,0.32576214,0.0
16.0,16.0,10.0,6.0,1.0,1.0,1.0,4.0,253.678,249.646,36.92,-2.5226,64.574,0.09252337,0.80269873,0.59638473,0.97285723,1123.29514639,1832.38396012,1883.50757206,3.08837329,0.44523106,1.0
15.0,15.0,11.0,6.0,1.0,1.0,0.0,5.0,259.707,257.691,36.92,-2.4611,62.451,0.06477516,0.76937601,0.63879618,0.81935569,1201.44454296,1541.03992006,1880.79480872,2.98344639,0.43199249,1.0
14.0,14.0,10.0,9.0,0.0,0.0,0.0,4.0,233.688,225.624,36.92,-0.8566,57.712,0.46877528,0.97394081,0.22680234,0.89404661,673.13841263,2653.48724508,2967.95181153,3.66986499,0.2943185,0.0
13.0,13.0,10.0,8.0,0.0,0.0,0.0,4.0,219.661,213.613,36.92,-1.2467,53.095,0.45212289,0.97013759,0.24255525,0.97703391,670.06598677,2699.08485987,2762.52934997,3.73592606,0.33414771,0.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,238.322,235.298,27.69,-0.3023,56.9,0.20464993,0.90420442,0.42709995,0.79772291,800.96083729,1496.00769026,1875.34753881,2.95863598,0.24476646,1.0
