0_Molecule,0_x,0_y,1_Molecule,1_x,1_y,2_Molecule,2_x,2_y,3_Molecule,3_x,3_y,4_Molecule,4_x,4_y,5_Molecule,5_x,5_y,6_Molecule,6_x,6_y,7_Molecule,7_x,7_y,8_Molecule,8_x,8_y,9_Molecule,9_x,9_y,10_Molecule,10_x,10_y,11_Molecule,11_x,11_y,12_Molecule,12_x,12_y,13_Molecule,13_x,13_y,14_Molecule,14_x,14_y,15_Molecule,15_x,15_y,16_Molecule,16_x,16_y
,,,162,-0.2282343506147765,0.1103447275146495,338.0,-0.1525176735590879,-0.2017167492725778,577.0,-0.1316779000241346,0.2934902716721871,,,,579.0,0.4192617369655097,0.6391464595477819,347.0,-0.3411524384982289,0.4767439658122088,,,,508.0,0.2880088476900367,-0.513714355592128,,,,742.0,0.3945809940239833,-0.021141943362753,271.0,-0.0512195021322006,-0.3381933152702087,793.0,-0.170925010700602,-0.5783620714420179,,,,,,,246.0,-0.024150008792657,0.0236491869706728,267.0,-0.0287669869953387,-0.1743122488251887
,,,166,-0.0605957870969454,0.2129616675646551,357.0,-0.2563719080392444,-0.3146230348278992,595.0,-0.0897855319605403,0.5000823235792368,,,,580.0,0.8417097099114307,0.6050656279568287,352.0,-0.2134321337408207,0.6791403406247616,,,,509.0,0.2292476270785987,-0.3101023580441615,,,,786.0,0.2668515461025961,-0.1864235557651177,331.0,-0.0870137190252314,-0.2910344022002445,807.0,-0.3430423622158474,-0.2553210009712822,,,,,,,248.0,-0.0461983931536948,0.1261486605825527,276.0,0.0732516497233699,-0.1344370344864744
,,,176,-0.0619662670577019,0.203102090140561,394.0,-0.3246247011636137,-0.0841325931268371,629.0,0.130124273098976,0.0649968626578879,,,,635.0,0.5370827858342239,0.4238362479529861,371.0,0.0616041452179582,0.4713981055835865,,,,523.0,0.2987849336936245,-0.407471802677751,,,,788.0,0.4865400453222441,-0.0907816876343886,333.0,-0.0142172853990709,-0.3922377244331309,838.0,-0.5085694946092046,-0.0224849755424125,,,,,,,266.0,-0.2007080948784467,0.0784136554632423,277.0,0.0507777696238248,0.002131011383365
,,,178,-0.1086863089040262,0.2047520424731141,395.0,0.0719543215217461,-0.1226389949162925,649.0,0.3448598169427654,0.0999195266409448,,,,777.0,0.7302646214104763,0.4825459492927147,379.0,-0.330187677916731,0.6075837896521572,,,,529.0,0.225465300234545,-0.4699800217412604,,,,818.0,0.5447325644799934,-0.2998187362091772,351.0,-0.1442062565267953,-0.2793665870724402,842.0,-0.3603328994231814,-0.1541021266587352,,,,,,,274.0,-0.1922370114416457,-0.0095387779716222,285.0,0.0710219983908925,-0.1740171570658182
,,,181,-0.1940837650122399,0.0947592651419834,403.0,-0.1245720285761751,-0.3719753873287192,687.0,-0.0504736873734706,0.3596197542798104,,,,794.0,0.5632944973712547,0.7933146477215222,410.0,-0.0410126385521437,0.1886538542707833,,,,555.0,0.2291767120089289,-0.1621403483236777,,,,835.0,0.4178308949475737,-0.4660842666173352,359.0,-0.1502553402271731,-0.2537600653863177,,,,,,,,,,281.0,-0.1462308740001768,0.1423824631797923,291.0,-0.1747519433846582,-0.0813428164633139
,,,182,-0.1879659938627036,0.077446955344002,408.0,-0.0460016525153033,-0.199140705367618,689.0,-0.0310403638181065,0.3664007922096653,,,,,,,412.0,-0.2926074911092845,0.5730675333340594,,,,568.0,0.3237586107356499,-0.5371178225276304,,,,836.0,0.4483072204133585,-0.30690869076732,362.0,-0.0375618274427422,-0.2880093155598782,,,,,,,,,,283.0,-0.106342469780379,0.1885696890418998,301.0,0.0819160630751837,0.0700018021066679
,,,187,-0.096328824164519,0.2603021650077126,420.0,-0.0042674291903164,-0.0905630342935422,702.0,-0.1446506494875825,0.2682503032801128,,,,,,,413.0,-0.1752534029145752,0.2709637550677331,,,,572.0,0.6446273252806609,-0.8708664566589733,,,,837.0,0.275438395271957,0.4066706296612905,364.0,-0.1987386286705234,-0.3675417986067427,,,,,,,,,,287.0,-0.0208996393642664,0.2247486776076294,311.0,0.0674282122392452,0.0123871555330757
,,,190,0.0387334638909481,0.1965381328255651,423.0,-0.2743981786592982,-0.2313448174355635,709.0,0.492968056580645,0.0177063968405287,,,,,,,489.0,-0.0933943783900169,0.2563854670050529,,,,589.0,0.3550135886924832,-0.5504890412149276,,,,,,,366.0,-0.1046780188191424,-0.2146175725821744,,,,,,,,,,297.0,-0.2382104484106086,0.3539097343741286,332.0,-0.0663587922802643,0.0950192028754482
,,,192,0.0366329275050846,0.2725445815543227,430.0,-0.3495969684197605,-0.0558918034177191,716.0,0.0251493140905066,0.2095718405841716,,,,,,,543.0,-0.0985592805173934,0.5163344074210964,,,,630.0,0.8526015692947962,-0.0796796539380178,,,,,,,386.0,0.0549661536960995,-0.2426850802368725,,,,,,,,,,298.0,-0.2782915342564184,0.3973620042211794,353.0,-0.1626529229742598,-0.3084761125028794
,,,205,-0.1706475350686877,0.2234540858043276,456.0,-0.0847420055983019,-0.1098648727109419,732.0,-0.1010685884707356,0.2753394622302476,,,,,,,565.0,-0.2192878688619292,0.288660843479607,,,,634.0,0.3595690716047367,-0.3314140259667226,,,,,,,399.0,-0.1260594022605694,-0.5355807996972841,,,,,,,,,,304.0,-0.0737535015128047,0.1363252383747917,360.0,0.0129176033866893,0.0055879952194677
,,,207,-0.0466550493859988,0.1922736602961568,462.0,-0.2780628633746181,-0.2008556314956879,748.0,0.012826017181093,0.3398349109173247,,,,,,,566.0,-0.2578918592990606,0.4042845735616006,,,,745.0,0.3990799576821596,-0.3208063729446128,,,,,,,404.0,-0.0652104712876726,-0.428964720988656,,,,,,,,,,307.0,-0.1285397775511649,0.0276886613893514,361.0,-0.0135219775233553,-0.1620032208668587
,,,210,0.0280022362566034,0.1651065420558067,463.0,-0.2765083350314809,-0.2177719660997327,774.0,0.2943838078419797,0.3794158618934367,,,,,,,574.0,-0.1725031443096339,0.3861781519380392,,,,,,,,,,,,,425.0,-0.1637526179217498,-0.1964944523491404,,,,,,,,,,310.0,-0.1832711140208108,-0.0548741147531852,363.0,-0.0332043420452197,-0.1799167599509556
